Age;Gender;MarStat;Housing;Educ;Inc_Gr;Children;IQ;rate;cost_type;ID
61;0;4;3;3;3;1;180;0,05;Broker;4
59;0;1;3;3;3;1;180;0,05;Broker;6
47;0;1;3;3;3;1;149,5236824;0,05;Broker;7
53;0;4;3;3;3;1;177,8853913;0,05;Broker;8
60;0;4;3;3;3;1;180;0,05;Broker;9
55;0;4;3;3;3;1;175,7081605;0,05;Broker;11
41;0;1;3;3;3;1;135,406226;0,05;Broker;12
54;0;1;3;3;3;1;163,7724453;0,05;Broker;13
51;0;4;3;3;3;1;158,7417886;0,05;Broker;15
54;0;4;3;3;3;1;168,1594142;0,05;Broker;19
43;0;4;3;3;3;1;127,3079488;0,05;Broker;21
42;0;4;3;3;3;1;126,3136201;0,05;Broker;22
46;0;4;3;3;3;1;139,2813997;0,05;Broker;23
46;0;4;3;3;3;1;148,9931287;0,05;Broker;24
62;0;1;3;3;3;1;180;0,05;Broker;27
45;0;4;3;3;3;0;149,241845;0,05;Broker;35
47;0;1;3;3;3;2;149,1924533;0,05;Broker;40
46;0;1;3;3;3;2;149,4369951;0,05;Broker;43
57;0;1;3;3;3;2;180;0,05;Broker;44
47;0;1;3;3;3;2;143,6121042;0,05;Broker;47
49;0;1;3;3;3;2;153,7942583;0,05;Broker;51
51;0;1;3;3;3;2;154,1555096;0,05;Broker;53
43;0;1;3;3;3;2;141,0642655;0,05;Broker;58
62;0;4;3;3;3;2;180;0,05;Broker;59
60;0;1;3;3;3;2;180;0,05;Broker;60
44;0;1;3;3;3;0;141,8184607;0,05;Broker;62
45;0;4;3;3;3;2;145,9293152;0,05;Broker;63
47;0;4;3;3;3;0;151,3336748;0,05;Broker;69
54;0;4;3;3;3;0;169,5463512;0,05;Broker;70
45;0;1;3;3;3;2;141,0501378;0,05;Broker;73
54;0;4;3;3;3;0;172,8221552;0,05;Broker;74
64;0;1;3;3;3;2;180;0,05;Broker;76
56;0;1;3;3;3;2;175,0556353;0,05;Broker;78
49;0;1;3;3;3;0;139,1696447;0,05;Broker;79
41;0;1;3;3;3;2;131,4421836;0,05;Broker;81
51;0;1;3;3;3;0;166,5491915;0,05;Broker;84
51;0;1;3;3;3;3;160,1366048;0,05;Broker;93
47;0;1;3;3;3;0;153,0676259;0,05;Broker;95
56;0;4;3;3;4;1;173,765939;0,05;Broker;97
45;0;4;3;3;4;1;141,374905;0,05;Broker;98
56;0;4;3;3;4;1;174,8380479;0,05;Broker;99
41;0;4;3;3;4;1;130,5556637;0,05;Broker;100
52;0;4;3;3;4;1;168,1961691;0,05;Broker;103
45;0;4;3;3;4;1;132,7937815;0,05;Broker;104
45;0;1;3;3;4;1;142,619354;0,05;Broker;105
47;0;4;3;3;4;1;142,6509452;0,05;Broker;106
46;0;1;3;3;4;1;144,2126916;0,05;Broker;108
61;0;4;3;3;4;1;180;0,05;Broker;109
46;0;1;3;3;4;1;154,6005496;0,05;Broker;110
44;0;1;3;3;4;2;134,0317244;0,05;Broker;119
49;0;4;3;3;4;2;151,6560832;0,05;Broker;120
45;0;1;3;3;4;2;138,7952426;0,05;Broker;122
45;0;1;3;3;4;2;148,4197588;0,05;Broker;123
41;0;4;3;3;4;2;125,9517628;0,05;Broker;124
42;0;1;3;3;4;2;129,4848905;0,05;Broker;125
44;0;4;3;3;4;0;136,5568785;0,05;Broker;128
63;0;1;3;3;4;2;180;0,05;Broker;129
44;0;1;3;3;4;2;129,4517218;0,05;Broker;130
54;0;1;3;3;4;2;168,708382;0,05;Broker;133
44;0;4;3;3;4;2;136,8604564;0,05;Broker;134
55;0;4;3;3;4;2;163,6663577;0,05;Broker;139
56;0;1;3;3;4;3;171,164115;0,05;Broker;141
50;0;4;3;3;4;2;158,107971;0,05;Broker;143
62;0;1;3;2;3;1;180;0,05;Broker;146
55;0;1;3;2;3;1;168,7625529;0,05;Broker;150
49;0;1;3;2;3;2;158,1594093;0,05;Broker;153
45;0;4;3;2;3;2;143,6108989;0,05;Broker;154
41;0;1;3;1;1;1;125,6845358;0,05;Broker;156
43;0;4;3;4;4;1;135,2002612;0,05;Broker;159
61;0;4;3;4;4;1;180;0,05;Broker;162
48;0;4;3;1;2;1;150,0606588;0,05;Broker;164
49;0;4;3;1;1;1;152,8667502;0,05;Broker;167
45;0;1;3;4;4;1;142,9673335;0,05;Broker;169
55;0;1;3;4;4;1;176,6202776;0,05;Broker;172
56;0;4;3;1;1;1;178,0458586;0,05;Broker;173
57;0;1;3;1;2;1;177,4671418;0,05;Broker;180
51;0;4;3;1;2;1;159,4049677;0,05;Broker;182
41;0;4;3;2;2;1;131,3399485;0,05;Broker;184
51;0;1;3;1;2;1;160,9491836;0,05;Broker;185
63;0;4;3;1;2;1;180;0,05;Broker;186
51;0;1;3;2;2;1;156,6587187;0,05;Broker;190
63;0;4;3;1;2;1;180;0,05;Broker;191
53;0;1;3;4;4;1;165,352925;0,05;Broker;194
49;0;4;3;1;2;1;155,2260651;0,05;Broker;195
45;0;4;3;4;4;1;139,8984144;0,05;Broker;198
57;0;1;3;1;2;1;180;0,05;Broker;200
51;0;4;3;1;1;1;161,2644043;0,05;Broker;202
58;0;1;3;4;4;1;170,0680652;0,05;Broker;204
41;0;4;3;1;1;1;119,2055763;0,05;Broker;205
47;0;1;3;4;4;1;146,2326493;0,05;Broker;208
58;0;1;3;1;1;1;180;0,05;Broker;209
48;0;1;3;1;1;1;147,9756525;0,05;Broker;211
41;0;1;3;2;2;1;126,3127149;0,05;Broker;212
56;0;1;3;1;2;1;170,3521202;0,05;Broker;213
64;0;4;3;1;1;1;180;0,05;Broker;215
50;0;1;3;1;1;2;144,4251277;0,05;Broker;219
45;0;4;3;2;2;0;139,8638567;0,05;Broker;221
59;0;1;3;1;1;2;180;0,05;Broker;222
45;0;1;3;4;4;2;145,4068267;0,05;Broker;223
55;0;1;3;2;2;0;169,5200772;0,05;Broker;224
58;0;1;3;1;1;0;177,2088904;0,05;Broker;225
44;0;4;3;1;1;2;137,6073753;0,05;Broker;227
44;0;4;3;1;1;2;145,3035599;0,05;Broker;229
42;0;1;3;4;4;0;137,0735659;0,05;Broker;230
45;0;4;3;1;1;2;134,8297426;0,05;Broker;231
44;0;4;3;4;4;2;143,011603;0,05;Broker;234
51;0;4;3;1;1;0;153,1935757;0,05;Broker;237
54;0;1;3;4;4;0;164,9830065;0,05;Broker;240
45;0;1;3;1;1;0;132,3567877;0,05;Broker;243
42;0;4;3;1;2;2;132,7044825;0,05;Broker;244
64;0;1;3;1;1;2;180;0,05;Broker;245
44;0;4;3;4;4;0;146,0973787;0,05;Broker;246
48;0;1;3;1;2;0;149,09661;0,05;Broker;248
53;0;1;3;1;1;2;162,9307;0,05;Broker;250
46;0;1;3;1;2;2;149,6500555;0,05;Broker;255
44;0;1;3;1;1;2;147,8112201;0,05;Broker;256
50;0;4;3;1;1;2;164,6253946;0,05;Broker;258
51;0;4;3;4;4;2;162,6179828;0,05;Broker;259
50;0;4;3;1;1;2;158,2132392;0,05;Broker;262
44;0;4;3;4;4;2;138,8764315;0,05;Broker;263
41;0;4;3;4;4;2;127,6371691;0,05;Broker;265
50;0;1;3;1;1;2;160,7125512;0,05;Broker;267
41;0;4;3;1;2;2;133,9742306;0,05;Broker;270
59;0;1;3;2;2;2;179,8102459;0,05;Broker;271
54;0;4;3;1;2;2;178,5666377;0,05;Broker;274
61;0;1;3;4;4;2;180;0,05;Broker;277
47;0;4;3;1;1;0;144,2245468;0,05;Broker;280
60;0;1;3;1;2;2;180;0,05;Broker;281
58;0;4;3;1;2;2;177,3135392;0,05;Broker;284
44;0;4;3;2;2;2;133,8256847;0,05;Broker;285
51;0;1;3;1;1;0;149,7569703;0,05;Broker;287
44;0;4;3;1;1;3;142,0728041;0,05;Broker;290
43;0;4;3;1;1;2;136,4281851;0,05;Broker;293
41;0;4;3;1;1;0;130,0085562;0,05;Broker;294
45;0;1;3;1;1;0;142,6822085;0,05;Broker;295
44;0;4;3;4;4;2;139,6867034;0,05;Broker;296
42;0;1;3;4;4;2;128,808635;0,05;Broker;300
52;0;4;3;1;2;2;157,9949295;0,05;Broker;301
44;0;1;3;1;1;0;136,28707;0,05;Broker;304
52;0;1;3;1;1;2;158,4998187;0,05;Broker;307
60;0;4;3;4;4;0;180;0,05;Broker;312
41;0;1;3;4;4;2;125,4588057;0,05;Broker;317
56;0;1;4;3;3;1;178,4353689;0,05;Broker;322
53;0;4;4;3;3;1;160,5387343;0,05;Broker;328
46;0;4;4;3;3;1;146,5201114;0,05;Broker;329
64;0;4;4;3;3;1;180;0,05;Broker;330
43;0;4;4;3;3;1;145,9568565;0,05;Broker;331
62;0;4;4;3;3;1;180;0,05;Broker;332
42;0;4;4;3;3;1;137,6255043;0,05;Broker;333
52;0;1;4;3;3;1;157,0510295;0,05;Broker;337
42;0;4;4;3;3;1;130,6990902;0,05;Broker;340
43;0;1;4;3;3;1;140,3083529;0,05;Broker;341
47;0;4;4;3;3;1;149,3479872;0,05;Broker;343
48;0;1;4;3;3;1;144,8298591;0,05;Broker;344
63;0;4;4;3;3;1;180;0,05;Broker;348
47;0;1;4;3;3;1;154,0018003;0,05;Broker;349
59;0;1;4;3;3;1;175,9162476;0,05;Broker;351
50;0;4;4;3;3;1;147,3170888;0,05;Broker;354
50;0;4;4;3;3;2;156,7446103;0,05;Broker;356
53;0;4;4;3;3;2;167,7853302;0,05;Broker;358
44;0;1;4;3;3;0;130,6246757;0,05;Broker;363
47;0;4;4;3;3;0;141,3477468;0,05;Broker;365
50;0;1;4;3;3;0;152,7609917;0,05;Broker;371
54;0;4;4;3;3;2;168,6524954;0,05;Broker;376
48;0;4;4;3;3;2;145,595126;0,05;Broker;377
55;0;1;4;3;3;2;171,8730727;0,05;Broker;380
54;0;1;4;3;3;2;173,5970849;0,05;Broker;385
47;0;4;4;3;3;2;148,3216778;0,05;Broker;388
44;0;4;4;3;3;0;138,2111291;0,05;Broker;392
61;0;4;4;3;3;2;180;0,05;Broker;396
49;0;1;4;3;3;3;161,025128;0,05;Broker;400
46;0;4;4;3;3;2;147,8722359;0,05;Broker;401
45;0;1;4;3;3;2;142,035855;0,05;Broker;402
59;0;1;4;3;3;3;178,3604884;0,05;Broker;406
55;0;4;4;3;3;2;164,1396841;0,05;Broker;407
41;0;4;4;3;3;0;131,4473804;0,05;Broker;409
46;0;1;4;3;3;0;143,5774518;0,05;Broker;410
43;0;4;4;3;3;2;130,5559835;0,05;Broker;412
47;0;1;4;3;3;2;151,1187836;0,05;Broker;414
50;0;4;4;3;3;2;161,7788191;0,05;Broker;416
57;0;4;4;3;3;0;180;0,05;Broker;417
62;0;4;4;3;3;2;180;0,05;Broker;420
45;0;4;4;3;3;2;142,0537219;0,05;Broker;423
46;0;1;4;3;4;1;145,4757796;0,05;Broker;428
42;0;1;4;3;4;1;126,5214465;0,05;Broker;430
42;0;4;4;3;4;1;132,1006869;0,05;Broker;432
43;0;1;4;3;4;1;133,2739146;0,05;Broker;434
48;0;4;4;3;4;2;151,5154796;0,05;Broker;444
59;0;4;4;3;4;2;180;0,05;Broker;446
63;0;4;4;3;4;2;180;0,05;Broker;447
47;0;4;4;3;4;2;148,1420174;0,05;Broker;449
56;0;1;4;3;4;0;172,5666869;0,05;Broker;453
61;0;1;4;3;4;2;180;0,05;Broker;455
49;0;4;4;3;4;2;150,9445836;0,05;Broker;457
46;0;4;4;3;4;0;137,3204937;0,05;Broker;459
60;0;1;4;3;4;0;180;0,05;Broker;461
52;0;1;4;3;4;2;163,6728255;0,05;Broker;463
47;0;4;4;3;4;3;146,1415975;0,05;Broker;464
47;0;1;4;3;4;2;150,2122692;0,05;Broker;466
43;0;1;4;3;4;0;132,6084419;0,05;Broker;468
49;0;1;4;3;4;2;147,8297004;0,05;Broker;469
65;0;4;4;3;4;2;180;0,05;Broker;471
45;0;4;4;3;4;2;143,4162973;0,05;Broker;472
45;0;4;4;3;4;0;161,7120786;0,05;Broker;473
57;0;3;2;3;3;1;171,8640735;0,05;Broker;478
41;0;3;2;3;3;1;127,7955662;0,05;Broker;483
41;0;3;1;3;3;1;124,4673714;0,05;Broker;484
43;0;3;2;3;3;1;135,5697461;0,05;Broker;485
46;0;3;1;3;3;1;142,5374629;0,05;Broker;486
41;0;3;2;3;3;1;128,8715699;0,05;Broker;495
43;0;3;2;3;3;1;138,6277709;0,05;Broker;497
65;0;3;1;3;3;1;180;0,05;Broker;502
55;0;3;1;3;3;1;163,1174201;0,05;Broker;503
64;0;3;1;3;3;1;180;0,05;Broker;504
64;0;3;2;3;3;1;180;0,05;Broker;505
41;0;3;1;3;3;1;129,226355;0,05;Broker;506
64;0;3;2;3;3;1;180;0,05;Broker;507
49;0;3;2;3;3;1;151,086064;0,05;Broker;508
42;0;3;1;3;3;0;133,3958321;0,05;Broker;518
55;0;3;1;3;3;2;179,9710557;0,05;Broker;520
44;0;3;1;3;3;2;138,8003207;0,05;Broker;521
55;0;3;2;3;3;2;172,1565368;0,05;Broker;522
45;0;3;1;3;3;2;143,8302604;0,05;Broker;527
