Age,Gender,MarStat,Housing,Educ,Inc_Gr,Children,IQ,Client,rate,cost_type,Default_flg
18,0,4,2,3,3,1,"61,28",544,"0,052944188",www,0
23,0,1,1,3,3,1,"72,22",665,"0,052944188",www,0
25,0,1,2,3,3,1,"86,56",2692,"0,052944188",www,0
22,0,4,2,3,3,1,"70,03",3227,"0,052944188",www,1
25,0,4,2,3,3,1,"81,06",3491,"0,052944188",www,0
23,0,4,1,3,3,1,"77,59",3549,"0,052944188",www,1
24,0,1,2,3,3,1,"79,83",3741,"0,052944188",www,0
18,0,1,1,3,3,1,"62,46",3853,"0,052944188",www,0
21,0,4,1,3,3,1,"74,31",4090,"0,052944188",www,0
26,0,4,1,3,3,1,"80,24",4264,"0,052944188",www,1
19,0,1,2,3,3,1,"67,52",4306,"0,052944188",www,1
27,0,4,1,3,3,1,"86,07",4398,"0,052944188",www,0
25,0,4,1,3,3,1,"83,77",4444,"0,052944188",www,1
25,0,4,1,3,3,1,"85,24",5449,"0,052944188",www,0
22,0,1,1,3,3,1,"73,46",7709,"0,052944188",www,0
25,0,1,2,3,3,1,"80,06",7761,"0,052944188",www,0
25,0,1,2,3,3,1,"79,97",8563,"0,052944188",www,0
23,0,1,2,3,3,2,"61,44",1307,"0,052944188",www,0
24,0,4,2,3,3,0,"80,68",1491,"0,052944188",www,0
18,0,4,2,3,3,2,"61,18",1721,"0,052944188",www,1
21,0,4,2,3,3,2,"70,08",2736,"0,052944188",www,1
22,0,4,2,3,3,2,"73,24",3090,"0,052944188",www,0
27,0,1,2,3,3,2,"88,52",4064,"0,052944188",www,0
23,0,1,1,3,3,0,"74,15",4110,"0,052944188",www,0
20,0,4,2,3,3,0,"62,61",4559,"0,052944188",www,0
18,0,4,2,3,3,0,"69,49",5071,"0,052944188",www,0
21,0,1,1,3,3,3,"72,74",5222,"0,052944188",www,0
23,0,4,1,3,3,2,"75,76",5428,"0,052944188",www,0
23,0,4,1,3,3,0,"70,49",5739,"0,052944188",www,0
27,0,4,1,3,3,0,"76,62",5765,"0,052944188",www,0
22,0,4,1,3,3,2,"71,06",6245,"0,052944188",www,1
24,0,1,1,3,3,2,"81,78",6679,"0,052944188",www,1
21,0,1,1,3,3,2,"78,24",6786,"0,052944188",www,0
23,0,1,2,3,3,2,"77,90",6790,"0,052944188",www,1
27,0,1,1,3,3,2,"91,63",7678,"0,052944188",www,0
22,0,1,1,3,3,0,"78,68",7964,"0,052944188",www,0
25,0,4,1,3,3,0,"83,16",8086,"0,052944188",www,0
27,0,1,1,3,3,2,"81,64",8150,"0,052944188",www,1
26,0,1,2,3,3,0,"83,75",8312,"0,052944188",www,0
25,0,1,1,3,3,2,"76,87",9045,"0,052944188",www,1
27,0,1,2,3,4,1,"96,81",1327,"0,067385564",www,0
21,0,4,1,3,4,1,"63,56",2768,"0,067385564",www,0
23,0,1,1,3,4,1,"76,90",2854,"0,067385564",www,0
25,0,1,1,3,4,1,"85,10",3036,"0,067385564",www,0
23,0,4,1,3,4,1,"80,34",5943,"0,067385564",www,1
23,0,1,2,3,4,1,"77,32",7425,"0,067385564",www,0
26,0,1,1,3,4,1,"90,15",7557,"0,067385564",www,0
25,0,1,2,3,4,1,"91,90",8806,"0,067385564",www,1
18,0,1,2,3,4,1,"64,56",9343,"0,067385564",www,1
21,0,1,2,3,4,1,"66,98",9816,"0,067385564",www,0
18,0,1,2,3,4,1,"70,92",9863,"0,067385564",www,0
23,0,1,1,3,4,2,"82,39",1602,"0,067385564",www,1
20,0,4,2,3,4,2,"72,09",1840,"0,067385564",www,0
24,0,4,1,3,4,0,"74,77",1889,"0,067385564",www,1
